34638,6460,34327
36136,80204,94922
63956,13532,82511
84989,77493,6979
15829,82900,53590
92975,67552,29527
29672,51392,96771
11638,67228,96760
82932,37026,3773
59566,71890,77458
97765,36341,39917
63471,23684,55263
22811,42924,1029
72549,52303,55154
87115,10949,18526
90246,42533,26156
31083,90606,99431
79655,86017,53601
55608,61629,97935
29865,56435,38011
20194,3999,57071
48752,28161,41236
19375,6057,66275
85485,52222,91989
76382,77447,56403
33801,8264,4638
62261,5872,21629
2791,21311,21900
88257,56684,24070
6189,92325,30826
2562,74409,63075
31063,44863,81385
96288,18232,3462
65258,77048,76802
42326,6326,85985
74530,7811,36895
92821,23857,64648
61479,35131,89736
44400,39520,75605
50351,64236,24544
89101,52346,88465
62365,70564,57698
93936,8711,78713
28673,28539,4676
47906,65604,5207
31977,54588,1127
83078,83383,15703
67238,53983,15314
7608,17892,72852
76869,16590,91177
61854,24017,89923
89308,42254,59822
31250,1199,37683
86149,40499,77339
75566,92843,8931
27601,37974,44797
49362,63633,72634
92312,33221,64470
33032,26692,65534
49013,32501,20927
9980,86127,50365
38779,65045,32592
43271,7429,33469
32973,86809,36444
47464,42282,91772
25201,46683,92077
16477,42340,22084
40115,87586,33745
62301,51031,72925
33167,78183,5570
42558,14486,51823
34957,50821,53240
7700,8015,59124
12914,42198,46053
54892,58312,63243
15433,58636,32788
81596,12623,22120
40878,89496,50699
24291,14895,48968
20263,56874,39063
61903,99044,42383
72853,85673,41771
48115,85203,2938
90673,295,51482
21658,4246,82759
7352,23307,31094
39954,19455,53552
31998,30020,57196
53122,28348,71489
7276,7554,82097
47719,1267,86366
71125,23336,54071
86036,45713,53547
78792,60916,44660
42313,32221,53608
22914,11697,99221
35922,32327,59977
77586,65679,91154
8479,25148,8536
40034,10039,64875
80596,78410,29295
62288,32761,97785
15707,32650,25004
20795,3719,57138
64648,38186,65528
80529,1359,31416
55486,85081,60077
25226,61630,32348
36341,32378,79794
96972,94080,8300
55207,83331,69444
5025,71638,80584
53937,6249,80721
26814,72103,94872
45750,84830,82197
84080,62442,86553
69473,67167,21270
49302,10353,71082
94806,64434,9333
46590,92390,79387
29047,83205,91552
50133,85570,90350
70014,8151,86508
54859,57632,29270
77341,37758,58828
90143,93330,55690
62628,69646,9179
51359,29242,79439
38752,66445,84746
61352,72279,14778
54282,54436,91296
14676,50382,35834
72583,80662,7775
65378,64903,25826
15872,91485,87456
68473,62086,97016
80619,28168,25228
8840,19484,96304
81174,58469,43476
61067,30487,47198
33242,93564,77864
35110,84346,75229
79784,76283,48937
82030,93038,63178
87374,80871,62307
11485,45375,31646
58807,16808,35000
95149,49023,89328
93991,94433,27760
29299,54660,63740
83392,40972,5518
94933,86033,5730
43899,83103,57243
95868,21358,8872
19211,22364,83955
29760,53550,75164
22864,93044,66955
49808,25786,10820
50092,14979,63423
38926,84794,81532
47061,86027,55767
93389,50651,10077
29632,97099,33834
75766,94828,21779
18961,89164,99323
40309,36376,61727
63359,1113,36391
4253,86038,46526
85122,7376,57033
36840,83837,25984
48179,10513,29691
73881,9538,52221
29647,27392,66225
46414,81641,83823
86966,39279,98074
76283,24200,54866
99926,89788,55114
38961,96192,86485
50298,78736,56914
37874,73779,47684
20561,88745,57756
98614,62415,77153
75021,6139,12379
94622,50201,91946
3322,55311,50785
38006,67773,17488
94459,55548,77276
57948,9375,71236
38533,83551,18223
70290,60188,94469
59980,92556,77814
12843,59969,68822
49495,6993,49769
57087,95216,75132
84205,52491,67729
80381,9041,99269
86103,29048,76338
91981,94248,61294
56507,68739,91181
33945,48398,37698
16919,52051,78968
45336,24048,83593
19356,60554,60088
31142,27484,71163
76838,48324,81901
41580,50370,66382
65621,74384,77020
28008,31344,29625
27540,28987,64399
49430,22077,12085
11677,90472,94300
87259,63301,1322
62975,14838,28859
77768,25699,57114
7028,58012,42258
4199,92050,66452
26658,13319,23629
4000,18025,70593
69741,2743,34407
20131,31244,90838
21210,88696,89681
